"ref_area","source","indicator","sex","time","obs_value","obs_status","note_indicator","note_source"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_F","2018",50.95,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_T","2017",49.56,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_M","2017",51.15,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_F","2017",48.2,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_T","2016",49.53,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_M","2016",51.44,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_F","2016",47.89,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_T","2015",49.98,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_M","2015",53.16,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_F","2015",47.44,,"T30:396","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_T","2022",5677.29,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_M","2022",6567.35,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_F","2022",5017.1,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_T","2021",5377.36,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_M","2021",5941.24,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_F","2021",4878.26,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_T","2020",5539.82,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_M","2020",5920.99,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_F","2020",5202.26,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_T","2018",4768.49,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_M","2018",5370.65,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_F","2018",4325.53,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_T","2017",4800.63,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_M","2017",5608.63,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_F","2017",4207.16,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_T","2016",4625.95,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_M","2016",5288.42,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_F","2016",4138.54,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_T","2015",4476.8,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_M","2015",5405.05,,"T30:74","R1:3513"
"CHL","BB:16207","EAR_HUBL_SEX_NB","SEX_F","2015",3773.86,,"T30:74","R1:3513"
"CIV","BA:7345","EAR_HUBL_SEX_NB","SEX_T","2019",2041.06,,"T30:13","R1:3513"
"CIV","BA:7345","EAR_HUBL_SEX_NB","SEX_M","2019",2127.39,,"T30:13","R1:3513"
"CIV","BA:7345","EAR_HUBL_SEX_NB","SEX_F","2019",1761.19,,"T30:13","R1:3513"
"CIV","BA:14098","EAR_HUBL_SEX_NB","SEX_T","2017",1459.44,,"T30:13","R1:3513"
"CIV","BA:14098","EAR_HUBL_SEX_NB","SEX_M","2017",1543.83,,"T30:13","R1:3513"
"CIV","BA:14098","EAR_HUBL_SEX_NB","SEX_F","2017",1291.08,,"T30:13","R1:3513"
"COK","BA:15665","EAR_HUBL_SEX_NB","SEX_T","2019",9.85,"B","I11:264_T30:213","R1:3513"
"COK","BA:15665","EAR_HUBL_SEX_NB","SEX_M","2019",9.28,"B","I11:264_T30:213","R1:3513"
"COK","BA:15665","EAR_HUBL_SEX_NB","SEX_F","2019",10.57,"B","I11:264_T30:213","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_T","2023",18808.61,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_M","2023",18128.93,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_F","2023",19473.56,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_T","2022",17157.97,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_M","2022",16508.35,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_F","2022",17793.97,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_T","2021",15273.25,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_M","2021",14031.78,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_F","2021",16587.75,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_T","2019",15192.16,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_M","2019",14119.37,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_F","2019",16356.12,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_T","2018",13708.63,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_M","2018",12774.46,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_F","2018",14698.75,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_T","2017",12860.45,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_M","2017",11830.13,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_F","2017",13944.97,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_T","2016",12281.91,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_M","2016",11193.23,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_F","2016",13439.87,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_T","2015",11363.59,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_M","2015",10368.67,,"T30:71","R1:3513"
"COL","BA:358","EAR_HUBL_SEX_NB","SEX_F","2015",12374.48,,"T30:71","R1:3513"
"CRI","BX:142","EAR_HUBL_SEX_NB","SEX_T","2022",2713.3,,"T30:72","R1:3513"
"CRI","BX:142","EAR_HUBL_SEX_NB","SEX_M","2022",2770.1,,"T30:72","R1:3513"
"CRI","BX:142","EAR_HUBL_SEX_NB","SEX_F","2022",2621.48,,"T30:72","R1:3513"
